,id_hourse,Addresse,Titre,Prix,Surface,Nb_piece,Nb_chambre,Parking,Jardin,Ascenseur,Terrasse,Garage,Prix_sur,Reference,Date_publication,Date_modification,Titre_description,Description
10,YV78_759,Versailles 78000 (Clagny Glatigny),"Achat maison 6 pièces 110 m², Versailles - 850 000 €",850 000 €,110 m²,6 pièces,3 chambres,,Jardin,,,,7 455 €/m²,Réf. de l’annonce : 7483,Publiée le 27 nov. 2020,Modifiée le 27 nov. 2020,Descriptif de cette maison à vendre de 6 pièces et 110 m²,"Versailles Saint-Jean Maison 6 P 110 m² avec jardin - Environnement très privilégié au coeur de la verdure et au calme absolu pour cette ravissante maison non mitoyenne de 1930 au charme fou et son joli jardin bien exposé et sans vis à vis offrant sur 3 niveaux : entrée, pièce de vie avec salle à manger et cuisine ouverte, salon, 3 chambres dont une suite parentale avec salle de douches, salle de douche avec wc, wc séparés. A cela s'ajoute un garage et une cave. Un bien rare dans ce quartier. A visiter rapidement. dont 3.66 % honoraires TTC à la charge de l'acquéreur."
11,YV78_760,Conflans-Sainte-Honorine 78700 (Chennevières),"Achat maison 4 pièces 95 m², Conflans-Sainte-Honorine - 350 000 €",350 000 €,95 m²,4 pièces,3 chambres,,Jardin,,Terrasse,,3 684 €/m²,Réf. de l’annonce : 838129,Publiée le 26 nov. 2020,Modifiée le 7 déc. 2020,Descriptif de cette maison à vendre de 4 pièces et 95 m²,"Vente Maison/villa 4 pièces. iad France - Aurelie SILENCIEUX (Voir le téléphone ) vous propose : Une maison individuelle avec terrasses et jardin au coeur du quartier familial et très commerçant de Chennevière à Conflans Ste Honorine!
Elle offre un séjour baigné de lumière ainsi qu'une cuisine équipée, tout deux ouverts sur une grande terrasse idéalement exposée. Toujours au rez de chaussée un wc, deux chambres dont une avec douche privative et wc. A l'étage une grande salle de bains avec baignoire d'angle, douche, wc et une chambre cathédrale. Son jardin intime et joliment arboré comblera le jeux des enfants et vos barbecues entre amis. Quelques surprises raviront les jardiniers et bricoleurs en manque d'espace de travail. Idéalement situé de tout ce dont une famille à besoin au quotidien: Commerces de proximité, supermarché, marché, médecins, écoles, bus vous amenant en 7mn à la gare et l'A15 à 10mn en voiture... Au plaisir de vous rencontrer lors de sa visite!
Honoraires d’agence à la charge du vendeur.Information d'affichage énergétique sur ce bien : DPE E indice 287 et GES F indice 67. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Aurelie SILENCIEUX (ID 32003), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de VERSAILLES sous le numéro 841 801 012.
Retrouvez tous nos biens sur notre site internet. (lien supprimé)"
12,YV78_761,Élancourt 78990 (Le Gandouget - Les 4 Arbres - Les Coudrays),"Achat maison 4 pièces 87 m², Élancourt - 269 000 €",269 000 €,87 m²,4 pièces,3 chambres,,Jardin,,,,3 092 €/m²,Réf. de l’annonce : SPI01027E,Publiée le 25 nov. 2020,Modifiée le 30 nov. 2020,Descriptif de cette maison à vendre de 4 pièces et 87 m²,"Maison de 4 pièces avec grand jardin sans vis à vis !. 'Pouvoir profiter d'un espace extérieur ensoleillé, sans vis à vis et AU CALME... '
Si telle est votre recherche immobilière, ne cherchez plus !
Cette maison est EXCLUSIVEMENT présentée par votre agence Stéphane Plaza Immobilier...
Alors contactez-nous !"
13,YV78_762,Élancourt 78990 (Nouvelle Amsterdam - ZA Petite Villedieu),"Achat maison 6 pièces 108 m², Élancourt - 299 000 €",299 000 €,108 m²,6 pièces,4 chambres,,Jardin,,,,2 769 €/m²,Réf. de l’annonce : SPI01030E,Publiée le 25 nov. 2020,Modifiée le 2 déc. 2020,Descriptif de cette maison à vendre de 6 pièces et 108 m²,"Maison de ville dans un quartier familial très recherché.. Après près de 50 ans passés dans ma maison, je suis prête à vous la confier. Je l'ai entretenue de la meilleure des façons. Toutes les fenêtres ont été changées en double vitrage, la chaudière est récente, la toiture a été changée en 2015. La maison dispose de 4 chambres, un bureau une salle de bains et une salle d'eau. Sa situation est idéale, proche des transports (bus ou train), l'école maternelle, primaire, collège et lycée sont accessibles à pied."
14,YV78_763,Élancourt 78990 (Nouvelle Amsterdam - ZA Petite Villedieu),"Achat maison 5 pièces 107 m², Élancourt - 299 000 €",299 000 €,107 m²,5 pièces,4 chambres,1 place de parking,Jardin,,,,2 794 €/m²,Réf. de l’annonce : SPI01031E,Publiée le 24 nov. 2020,Modifiée le 5 déc. 2020,Descriptif de cette maison à vendre de 5 pièces et 107 m²,"Maison 5 pièces de 107 m² avec 4 chambres. Dans un quartier calme, proche de la gare et des commerces, venez visiter cette maison de type Villeneuve bien exposée !
Séjour 26 m², 4 chambres (dont une dans les combles), cuisine équipée récente, salle de bains et salle d'eau, wc à chaque étage. Grand garage, jardin sans vis-à-vis.
Fenêtres PVC, volets électriques, store-banne électrique.
Prévoir petits travaux de finition (déco)."
15,YV78_764,Hardricourt 78250,"Achat maison 9 pièces 253 m², Hardricourt - 625 000 €",625 000 €,253 m²,9 pièces,5 chambres,6 places de parking,Jardin,,,,2 470 €/m²,Réf. de l’annonce : 007055E1796G,Publiée le 23 nov. 2020,Modifiée le 25 nov. 2020,Descriptif de cette maison à vendre de 9 pièces et 253 m²,"Maison Hardricourt 10 pièce(s). Cette majestueuse demeure du début du XXème siècle, édifiée sur un terrain de 14000 m², a conservé le charme des maisons d'autrefois. Idéalement située à l'entrée du parc du Vexin, elle offre des volumes confortables, une vaste réception, un salon, une spacieuse cuisine, six chambres, un bureau ... Baignée de lumière et parfaitement exposée, avec sa terrasse à l'abris des regards, cette maison bénéficie également d'une serre.. Pour les amoureux des belles demeures !"
16,YV78_765,Chevreuse 78460,"Achat maison 9 pièces 215 m², Chevreuse - 740 000 €",740 000 €,215 m²,9 pièces,4 chambres,4 places de parking,Jardin,,Terrasse,,3 358 €/m²,Réf. de l’annonce : 780151929,Publiée le 23 nov. 2020,Modifiée le 28 nov. 2020,Descriptif de cette maison à vendre de 9 pièces et 215 m²,"A 5 minutes du Centre Village, Ecoles et Commerces : Maison de Charme 1920 de 215m2 sur un Magnifique terrain arboré de 1600m2. Maison sur 3 niveaux, très lumineuse. 4 chambres, 2 Salles de bains, Salon avec cheminée, Salle à manger avec un accès direct sur la terrasse exposée sud. Studio indépendant. Belle hauteur sous plafond, parquet, matériaux anciens."
17,YV78_766,La Queue-lez-Yvelines 78940,"Achat maison 5 pièces 95 m², La Queue-lez-Yvelines - 299 000 €",299 000 €,95 m²,5 pièces,4 chambres,,,,,,3 147 €/m²,,Publiée le 23 nov. 2020,,Descriptif de cette maison à vendre de 5 pièces et 95 m²,"Maison 5 pièces Neuve. Frais de Notaire réduits.
Dans une commune rurale des Yvelines, située à 40 km de Versailles. La ville allie un environnement calme et un dynamisme apprécié des habitants : l’école au cœur du village, des associations sportives et culturelles actives et de nombreuses manifestations locales.
Nous vous proposons cette maison individuelle Neuve de 95 m2 sur deux niveaux avec un garage et un jardin de 293 m2.
Au 1 ER niveau, vous trouverez un séjour/cuisine de 32 m2 et une SDE/WC.
Au 2 ème niveau, il y aura quatre chambres et une SDB/WC.
N'hésitez pas à nous contacter pour plus d'informations."
18,YV78_767,Flins-sur-Seine 78410,"Achat maison 5 pièces 105 m², Flins-sur-Seine - 239 700 €",239 700 €,105 m²,5 pièces,3 chambres,,Jardin,,1 terrasse,,2 283 €/m²,Réf. de l’annonce : 795,Publiée le 23 nov. 2020,Modifiée le 30 nov. 2020,Descriptif de cette maison à vendre de 5 pièces et 105 m²,"Maison à vendre / Avec espace extérieur / FLINS SUR SEINE / Agence Principale Flins Immobilier. Maison de ville de 3 chambres avec jardinet orienté plein Ouest bâtie pour une partie sur caves dont une voutée.
Ce bien atypique est composé d'une grande entrée avec un escalier menant à une pièce palière desservant deux grandes chambres, une pièce sans fenêtre pouvant servir de dressing, ainsi qu'une salle de bains avec toilettes.
L'entrée dessert aussi en rez-de-chaussée un salon - salle à manger, une autre salle de bains avec toilettes, une buanderie ainsi que la cave voutée, une cuisine aménagée avec accès au jardinet et à un escalier qui monte à une troisième chambre et à un grenier.
Cette maison de centre ville est à pied du parc, de l'arrêt de bus pour la gare en 10 minutes, mais aussi du parc, des écoles et du centre commercial.
Les + de ce bien:
L'atypisme
Gros potentiel après travaux dont certains ont déjà été faits
Chaudière récente, toiture et ravalement refaits, huisseries en bon état ainsi que les volets.
Pour toute visite, contactez l'Agence Principale d'Epône - Flins sur Seine : Voir le téléphone
(Collaborateur salarié)"
19,YV78_768,Verneuil-sur-Seine 78480 (Les Clairières - Les Renardières),"Achat maison 6 pièces 116 m², Verneuil-sur-Seine - 449 000 €",449 000 €,116 m²,6 pièces,4 chambres,,Jardin,,,,3 871 €/m²,,Publiée le 22 nov. 2020,Réf. de l’annonce : 66288_1,Descriptif de cette maison à vendre de 6 pièces et 116 m²,"Maison de 6 pièces. Idéalement située dans un Domaine résidentiel à proximité de la forêt ! Jolie maison de type F6 exposée SUD/OUEST sur un terrain de 392 m², elle vous propose : entrée, dégagement avec placard, cuisine équipée, cellier/chaufferie, séjour double avec cheminée donnant accès à 1 belle terrasse, rangement sous l'escalier, 1 chambre, salle d'eau, wc. A l'étage: Palier, 3 chambres, 1 salle d'eau avec wc, 1 bureau et 1 coin TV. Garage, cave. Superbe jardin ! Transports scolaires dans le Domaine et Gare à 10 min ! Elle est déjà prête pour votre installation immédiate ! Une superbe maison à visiter sans tarder!"
20,YV78_769,Carrières-sous-Poissy 78955 (Saint-Blaise),"Achat maison 5 pièces 80 m², Carrières-sous-Poissy - 379 500 €",379 500 €,80 m²,5 pièces,3 chambres,,Jardin,,,,4 744 €/m²,,Publiée le 20 nov. 2020,Réf. de l’annonce : 87369_0,Descriptif de cette maison à vendre de 5 pièces et 80 m²,"Maison de 5 pièces. Une maison qui embellira votre vie. A deux pas de toutes commodités; écoles, commerces, station de bus, dans un lotissement haut de gamme au calme, maison individuelle non mitoyenne de 5 pièces en très bon état vous proposant; entrée sur salon salle à manger, cuisine équipée, palier desservant 3 chambres, une salle de bains, wc à chaque niveau. Combles aménageables et garage attenant. Terrasse et jardin exposés Sud Ouest. Une maison conçue pour la plaisance."
21,YV78_770,Beynes 78650,"Achat maison 5 pièces 92 m², Beynes - 340 000 €",340 000 €,92 m²,5 pièces,3 chambres,,Jardin,,,,3 696 €/m²,Réf. de l’annonce : 856695,Publiée le 20 nov. 2020,Modifiée le 28 nov. 2020,Descriptif de cette maison à vendre de 5 pièces et 92 m²,"Vente Maison/villa 5 pièces. iad France - Sophie LHEMERY (Voir le téléphone ) vous propose : EXCLUSIVITE - BEYNES - Val des 4 Pignons – Au calme d’une impasse, maison traditionnelle de plain pied, de 92m 2 sur un grand terrain aménagé et arboré de 810 m 2.
Elle est située à 5 minutes à pieds des écoles, collège, commerces et centres d’intérêts culturels et sportifs.
Elle se compose d’une entrée avec nombreux placards qui vous guidera vers le salon/salle à manger très lumineux de 32m 2 avec une grande baie vitrée donnant accès direct au balcon avec une superbe vue dégagée et une belle exposition.
Une cuisine aménagée, 3 chambres, 1 salle d’eau, wc séparés, complètent ce niveau.
Ensuite, vous découvrirez 1 escalier vous guidant vers le sous-sol total et en partie aménagé en pièce de vie, chambre et salle d’eau. S’y trouve également, une chaufferie et une cave.
**Visites Virtuelles sur RDV**
Honoraires d’agence à la charge du vendeur.Information d'affichage énergétique sur ce bien : DPE D indice 203 et GES E indice 47. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Sophie LHEMERY (ID 34101), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de VERSAILLES sous le numéro 843952482.
Retrouvez tous nos biens sur notre site internet. (lien supprimé)"
22,YV78_771,Tacoignières 78910,"Achat maison 4 pièces 80 m², Tacoignières - 261 000 €",261 000 €,80 m²,4 pièces,3 chambres,,,,,,3 263 €/m²,,Publiée le 19 nov. 2020,,Descriptif de cette maison à vendre de 4 pièces et 80 m²,"Maison 4 pièces Neuve. Frais de Notaire réduits.
Dans une commune rurale des Yvelines, située à 40 km de Versailles. La ville allie un environnement calme et un dynamisme apprécié des habitants : l’école au cœur du village, des associations sportives et culturelles actives et de nombreuses manifestations locales.
Nous vous proposons cette maison individuelle Neuve de 80 m2 sur deux niveaux avec un garage et un jardin de 240 m2.
Au 1 ER niveau, vous trouverez un séjour/cuisine de 32 m2 et une SDE/WC.
Au 2 ème niveau, il y aura trois chambres et une SDB/WC.
N'hésitez pas à nous contacter pour plus d'informations."
